username,full_name,platform,total_followers,total_media_posts,account_category,boost_index,engagement_rate,engagement_rate_60d,avg_likes,avg_comments,avg_video_views,avg_1d,avg_3d,avg_7d,avg_14d,avg_30d,profile_url
buzzfeedtasty,buzzfeedtasty,Instagram,42970746,8617,Travel & Events,85,0.0012268968893595,0.0002834816507166,67247.14945736433,454.87381275440976,1189325.8005780347,5123.5,7426.333333333333,8197.0,9341.557692307691,8959.894736842105,https://www.instagram.com/buzzfeedtasty
kapilsharma,kapilsharma,Instagram,42000622,958,Comedy,83,0.0180150541970099,0.011204072325977,664476.0,3186.9012738853503,2232735.654545455,,,,,364037.0,https://www.instagram.com/kapilsharma
britneyspears,britneyspears,Instagram,41807497,2998,,80,0.0107517044321038,0.0112609476728996,523267.0714285714,9891.539451114922,6241768.775,,,106723.2,194049.0,503971.75,https://www.instagram.com/britneyspears
mariliamendoncacantora,mariliamendoncacantora,Instagram,41681598,1429,Music,73,0.0188178588447724,0.0002506269205627,1058071.0,10442.049090909091,9808431.333333334,0.0,0.0,0.0,0.0,0.0,https://www.instagram.com/mariliamendoncacantora
badbunnypr,badbunnypr,Instagram,41310397,16,Comedy,83,0.0664348438943664,0.146266454697248,3644587.5,58246.55778894472,8652812.673684211,,,7713443.0,7713443.0,5710268.5,https://www.instagram.com/badbunnypr
dior,dior,Instagram,41223938,9623,Gaming,85,0.0019476090459729,0.0015606360183799,88831.49753694581,532.8151891423621,620189.5040322581,22188.33333333333,29181.846153846152,30234.464285714286,33972.56603773585,45682.43119266055,https://www.instagram.com/dior
norafatehi,norafatehi,Instagram,41161527,1682,Comedy,83,0.0242532692379056,0.0225156653442236,1364004.6,5436.9662379421225,5906504.053571428,,,536660.3333333334,570485.25,655721.6153846154,https://www.instagram.com/norafatehi
jenniferaniston,jenniferaniston,Instagram,40741767,98,Gaming,85,0.0841073660850652,0.0188405306938515,4565592.5,36019.397260273974,12115309.363636363,,,544727.0,544727.0,544727.0,https://www.instagram.com/jenniferaniston
marinaruybarbosa,marinaruybarbosa,Instagram,40573646,2098,,81,0.0108676806653326,8.651627972459853e-05,586382.3333333334,3469.904191616766,712501.3181818182,0.0,0.0,0.0,0.0,0.0,https://www.instagram.com/marinaruybarbosa
addisonraee,addisonraee,Instagram,40402560,298,Gaming,85,0.0608235746200226,0.0330116643224507,3150451.0,8362.427152317881,6400652.176470588,,1349907.0,1009004.0,1026147.1111111112,1214530.0,https://www.instagram.com/addisonraee
